PHDMAN-F,"Management Ph.D. - Finance Area - With Master's Degree"
PHDMAN-MO,"Management Ph.D. - Management and Organization Area - With Master's Degree"
PHDMAN-OM,"Management Ph.D. - Operations and Supply Chain Management Area - With Master's Degree"
PHDMAN-UG-F,"Management Ph.D. - Finance Area - With Bachelor's Degree"
PHDMAN-UG-MO,"Management Ph.D. - Management and Organization Area - With Bachelor's Degree"
PHDMAN-UG-OM,"Management Ph.D. - Operations and Supply Chain Management Area - With Bachelor's Degree"
PHDMAT,"Materials Science and Nano Engineering-(Pre:Materials Science and Engineering)"
PHDMATH,"Mathematics - With Master's Degree"
PHDMATH-UG,"Mathematics - With Bachelor's Degree"
PHDMAT-UG,"Materials Science and Nano Engineering-(Pre:Materials Science and Engineering)"
PHDME,"Mechatronics Engineering - With Master's Degree"
PHDME-UG,"Mechatronics Engineering - With Bachelor's Degree"
PHDMFE,"Manufacturing Engineering - With Master's Degree"
PHDMFE-UG,"Manufacturing Engineering - With Bachelor's Degree"
PHDPHYS,"Physics - With Master's Degree"
PHDPHYS-UG,"Physics - With Bachelor's Degree"
PHDPS,"Political Sciences - With Master's Degree"
PHDPS-UG,"Political Sciences - With Bachelor's Degree"
PHDSPSY,"Social Psychology - With Master's Degree"
PHDSPSY-UG,"Social Psychology - With Bachelor's Degree"
PHIL-MINOR,"Philosophy Minor"
PHYS-MINOR,"Physics Minor"
PSY-MINOR,"Psychology  Minor"
SCP-MINOR,"Society, Culture and Politics Minor"
SUST-MINOR,"Sustainability Minor"
