"CRN","Subject","Course","Section","Title","Credits","MeetingType","Time","Days","Location","DateRange","ScheduleType","Instructors"
"10286","AL","102","D1","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. 1096","Sep 28, 2026 - Dec 31, 2026","1st del","Ali Nihat Eken (P)"
"10286","AL","102","D1","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Fac.of Arts and Social Sci. 1089","Sep 28, 2026 - Dec 31, 2026","2nd del","Ali Nihat Eken (P)"
"10287","AL","102","D2","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. 1079","Sep 28, 2026 - Dec 31, 2026","1st del","Naime Meltem Aygüneş (P)"
"10287","AL","102","D2","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Fac.of Arts and Social Sci. 1097","Sep 28, 2026 - Dec 31, 2026","2nd del","Naime Meltem Aygüneş (P)"
"10288","AL","102","D3","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. G043","Sep 28, 2026 - Dec 31, 2026","1st del","Deniz Kurtoğlu Eken (P)"
"10288","AL","102","D3","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Sabancı Business School G041","Sep 28, 2026 - Dec 31, 2026","2nd del","Deniz Kurtoğlu Eken (P)"
"10289","AL","102","D4","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Fac.of Arts and Social Sci. G050","Sep 28, 2026 - Dec 31, 2026","1st del","Ekrem Sabit Şimşek (P)"
"10289","AL","102","D4","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Fac.of Arts and Social Sci. 1081","Sep 28, 2026 - Dec 31, 2026","2nd del","Ekrem Sabit Şimşek (P)"
"12596","AL","102","D5","Academic Literacies","3.000","Class","12:40 pm - 2:30 pm","W","Sabancı Business School G045","Sep 28, 2026 - Dec 31, 2026","1st del","Tuğçe Gürer (P)"
"12596","AL","102","D5","Academic Literacies","3.000","Class","12:40 pm - 1:30 pm","R","Sabancı Business School G042","Sep 28, 2026 - Dec 31, 2026","2nd del","Tuğçe Gürer (P)"
"10174","ACC","201","A","Introduction to Financial Accounting and Reporting","3.000","Class","9:40 am - 10:30 am","T","Fac.of Arts and Social Sci. G018","Sep 28, 2026 - Dec 31, 2026","2nd del","Onuralp Armağan (P)"
"10174","ACC","201","A","Introduction to Financial Accounting and Reporting","3.000","Class","9:40 am - 11:30 am","R","Fac.of Arts and Social Sci. 1010","Sep 28, 2026 - Dec 31, 2026","1st del","Onuralp Armağan (P)"
"10176","ACC","201","B","Introduction to Financial Accounting and Reporting","3.000","Class","8:40 am - 11:30 am","F","Fac. of Engin. and Nat. Sci. L035","Sep 28, 2026 - Dec 31, 2026","1st del","Turgay Sakin (P)"
"13492","ACC","201","C","Introduction to Financial Accounting and Reporting","3.000","Class","2:40 pm - 5:30 pm","F","Sabancı Business School G060","Sep 28, 2026 - Dec 31, 2026","1st del","Turgay Sakin (P)"
"10004","ACC","301","0","Managerial Accounting","3.000","Class","1:40 pm - 4:30 pm","T","Sabancı Business School L018","Sep 28, 2026 - Dec 31, 2026","1st del","Ulf Nilsson (P)"
"12750","GR","500E","0","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar","Hüsnü Yenigün (P), Andrew Christopher Bosson , Levent Çoban , İlkem Kayıcan"
"12388","GR","500M","0","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar","Ayşe Kocabıyıkoğlu (P)"
"12396","GR","500S","CUL","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar",""
"12397","GR","500S","ECO","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar",""
"12399","GR","500S","GEN","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar",""
"12398","GR","500S","HIS","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar",""
"12400","GR","500S","POL","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar",""
"12401","GR","500S","PSY","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar",""
"12403","GR","500S","VAC","Academic Practices and Development","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Seminar",""
"11790","GR","555E","A","Scientific and Technical Communication","0.000","Class","10:40 am - 1:30 pm","T","Fac. of Engin. and Nat. Sci. L063","Sep 28, 2026 - Dec 31, 2026","1st del","Daniel Lee Calvey (P)"
"11791","GR","555E","B","Scientific and Technical Communication","0.000","Class","12:40 pm - 3:30 pm","M","Fac. of Engin. and Nat. Sci. L063","Sep 28, 2026 - Dec 31, 2026","1st del","Daniel Lee Calvey (P)"
"11792","GR","555E","C","Scientific and Technical Communication","0.000","Class","10:40 am - 1:30 pm","W","Fac. of Engin. and Nat. Sci. 2019","Sep 28, 2026 - Dec 31, 2026","1st del","Daniel Lee Calvey (P)"
"11193","GR","555M","0","Academic Writing for Graduate Students","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","1st del","Daniel Lee Calvey (P)"
"12387","GR","700E","0","PhD Qualifying Exam Preparation","0.000","Class","","","","Sep 28, 2026 - Dec 31, 2026","Qualifying Exam Preparation","Hüsnü Yenigün (P)"
"13497","ANTH","326","0","Anthropology of the Body","3.000","Class","9:40 am - 12:30 pm","M","Fac.of Arts and Social Sci. 1099","Sep 28, 2026 - Dec 31, 2026","1st del","Ayşecan Terzioğlu (P)"
"13498","ANTH","526","0","Anthropology of the Body","3.000","Class","9:40 am - 12:30 pm","M","Fac.of Arts and Social Sci. 1099","Sep 28, 2026 - Dec 31, 2026","1st del","Ayşecan Terzioğlu (P)"
"13322","ARA","510","0","Basic Arabic I","3.000","Class","10:40 am - 1:30 pm","T","Sabancı Business School G042","Sep 28, 2026 - Dec 31, 2026","1st del","Muhammed Fatih Büyükkörükcü (P)"
"13324","ARA","510D","0","Basic Arabic I Discussion","0.000","Class","2:40 pm - 4:30 pm","T","Sabancı Business School G056","Sep 28, 2026 - Dec 31, 2026","1st del","Muhammed Fatih Büyükkörükcü (P)"
"13323","ARA","530","0","Intermediate Arabic I","3.000","Class","10:40 am - 1:30 pm","W","Sabancı Business School G050","Sep 28, 2026 - Dec 31, 2026","1st del","Muhammed Fatih Büyükkörükcü (P)"
"13325","ARA","530D","0","Intermediate Arabic I Discussion","0.000","Class","2:40 pm - 4:30 pm","W","Sabancı Business School G050","Sep 28, 2026 - Dec 31, 2026","1st del","Muhammed Fatih Büyükkörükcü (P)"
"13625","CHEM","212","0","General Chemistry for Engineers","3.000","Class","11:40 am - 12:30 pm","T","Fac. of Engin. and Nat. Sci. L067","Sep 28, 2026 - Dec 31, 2026","2nd del","Hayriye Ünal (P)"
"13625","CHEM","212","0","General Chemistry for Engineers","3.000","Class","8:40 am - 10:30 am","W","Fac. of Engin. and Nat. Sci. L048","Sep 28, 2026 - Dec 31, 2026","1st del","Hayriye Ünal (P)"
"13626","CHEM","212L","0","General Chemistry for Engineers – Lab.","0.000","Class","2:40 pm - 4:30 pm","M","Fac. of Engin. and Nat. Sci. G049/G050","Sep 28, 2026 - Dec 31, 2026","1st del","Hayriye Ünal (P)"
"10073","CHEM","301","0","Inorganic Chemistry","3.000","Class","10:40 am - 12:30 pm","M","Fac. of Engin. and Nat. Sci. L061","Sep 28, 2026 - Dec 31, 2026","1st del","Alp Yürüm (P)"
"10073","CHEM","301","0","Inorganic Chemistry","3.000","Class","1:40 pm - 2:30 pm","T","Fac. of Engin. and Nat. Sci. L062","Sep 28, 2026 - Dec 31, 2026","2nd del","Alp Yürüm (P)"
"10076","CHEM","301L","0","Inorganic Chemistry Lab","0.000","Class","9:40 am - 12:30 pm","W","Fac. of Engin. and Nat. Sci. G049/G050","Sep 28, 2026 - Dec 31, 2026","1st del","Alp Yürüm (P)"
"11931","CHEM","405","0","Electrochemistry","3.000","Class","3:40 pm - 4:30 pm","W","Fac. of Engin. and Nat. Sci. L047","Sep 28, 2026 - Dec 31, 2026","2nd del","Selmiye Alkan Gürsel (P)"
"11931","CHEM","405","0","Electrochemistry","3.000","Class","10:40 am - 12:30 pm","R","Fac. of Engin. and Nat. Sci. G029","Sep 28, 2026 - Dec 31, 2026","1st del","Selmiye Alkan Gürsel (P)"
"11932","CHEM","505","0","Electrochemistry","3.000","Class","3:40 pm - 4:30 pm","W","Fac. of Engin. and Nat. Sci. L047","Sep 28, 2026 - Dec 31, 2026","2nd del","Selmiye Alkan Gürsel (P)"
"11932","CHEM","505","0","Electrochemistry","3.000","Class","10:40 am - 12:30 pm","R","Fac. of Engin. and Nat. Sci. G029","Sep 28, 2026 - Dec 31, 2026","1st del","Selmiye Alkan Gürsel (P)"
"10322","CIP","101N","A","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","M","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"12158","CIP","101N","AY","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","M","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"10323","CIP","101N","B","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","T","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"12159","CIP","101N","BY","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","T","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"10325","CIP","101N","C","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","W","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"12160","CIP","101N","CY","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","W","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"10326","CIP","101N","D","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","R","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"12161","CIP","101N","DY","Civic Involvement Projects I-N","0.000","Class","12:40 pm - 3:30 pm","R","","Sep 28, 2026 - Dec 31, 2026","1st del","Zeynep Bahar (P)"
"10190","CS","201","A","Programming Fundamentals","3.000","Class","8:40 am - 9:30 am","T","Fac. of Engin. and Nat. Sci. G077","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10190","CS","201","A","Programming Fundamentals","3.000","Class","11:40 am - 1:30 pm","W","Fac. of Engin. and Nat. Sci. G077","Sep 28, 2026 - Dec 31, 2026","2nd del","Saima Gül (P)"
"10192","CS","201","B","Programming Fundamentals","3.000","Class","3:40 pm - 4:30 pm","T","Fac. of Engin. and Nat. Sci. G077","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10192","CS","201","B","Programming Fundamentals","3.000","Class","3:40 pm - 5:30 pm","W","Fac. of Engin. and Nat. Sci. G077","Sep 28, 2026 - Dec 31, 2026","2nd del","Saima Gül (P)"
"10195","CS","201R","A1","Programming Fundamentals Recitation","0.000","Class","5:40 pm - 7:30 pm","R","Sabancı Business School G060","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10197","CS","201R","A2","Programming Fundamentals Recitation","0.000","Class","5:40 pm - 7:30 pm","R","Fac.of Arts and Social Sci. G049","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10198","CS","201R","A3","Programming Fundamentals Recitation","0.000","Class","5:40 pm - 7:30 pm","R","Fac. of Engin. and Nat. Sci. G035","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10200","CS","201R","B1","Programming Fundamentals Recitation","0.000","Class","12:40 pm - 2:30 pm","R","Fac. of Engin. and Nat. Sci. G035","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10203","CS","201R","B2","Programming Fundamentals Recitation","0.000","Class","12:40 pm - 2:30 pm","R","Fac. of Engin. and Nat. Sci. G032","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10204","CS","201R","B3","Programming Fundamentals Recitation","0.000","Class","12:40 pm - 2:30 pm","R","Sabancı Business School G098","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10207","CS","201R","B4","Programming Fundamentals Recitation","0.000","Class","12:40 pm - 2:30 pm","R","Fac. of Engin. and Nat. Sci. L063","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10206","CS","201R","C","Programming Fundamentals Recitation","0.000","Class","5:40 pm - 7:30 pm","F","Fac. of Engin. and Nat. Sci. G032","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10212","CS","201R","D1","Programming Fundamentals Recitation","0.000","Class","10:40 am - 12:30 pm","F","Sabancı Business School L018","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10214","CS","201R","D2","Programming Fundamentals Recitation","0.000","Class","10:40 am - 12:30 pm","F","Fac. of Engin. and Nat. Sci. L027","Sep 28, 2026 - Dec 31, 2026","1st del","Saima Gül (P)"
"10218","CS","204","0","Advanced Programming","3.000","Class","4:40 pm - 6:30 pm","M","Fac. of Engin. and Nat. Sci. G077","Sep 28, 2026 - Dec 31, 2026","2nd del","Kamer Kaya (P)"
