"Management Ph.D. - Operations and Supply Chain Management Area - With Master's Degree","200501","200502","200503","200601","200602","200603","200701","200702","200703","200801","200802","200803","200901","200902","200903","201001","201002","201003","201101","201102","201103","201201","201202","201203","201301","201302","201303","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
BIO 567,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
BIO 568,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,
BIO 569,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
BIO 570,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
BIO 580,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO 58000,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
BIO 58001,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
BIO 58002,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
BIO 58003,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
BIO 58004,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
BIO 58005,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
BIO 58006,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
BIO 58007,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
BIO 581,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO 601,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,
BIO 602,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
BIO 606,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
