"Experimental Psychology - With Master's Degree","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
BIO 644,F,F,F,F,,,,,,,,,,,,
BIO 645,F,F,F,F,,,,,,,,,,,,
BIO 676,F,F,F,F,,,,,,,,,,,,
BIO 751,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 752,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CHEM 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CONF 500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CONF 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CONF 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CONF 523,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CONF 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CONF 531,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 501,F,F,F,F,,,,,,,,,,,,
CS 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 507,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 508,F,F,F,F,,,,,,,,,,,,
CS 510,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 512,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
CS 514,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 515,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 517,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 518,F,F,F,F,,,,,,,,,,,,
CS 522,F,F,F,F,,,,,,,,,,,,
CS 523,F,F,F,F,,,,,,,,,,,,
CS 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 526,F,F,F,F,,,,,,,,,,,,
CS 528,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 531,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 533,F,F,F,F,,,,,,,,,,,,
CS 534,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 535,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 538,F,F,F,F,,,,,,,,,,,,
CS 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 541,F,F,F,F,,,,,,,,,,,,
CS 542,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 543,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 545,F,F,F,,,,,,,,,,,,,
CS 546,F,,,,,,,,,,,,,,,
CS 547,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 549,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
CS 555,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 560,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 58000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 58001,F,F,F,F,,,,,,,,,,,,
CS 58002,F,F,F,F,,,,,,,,,,,,
CS 58003,F,F,F,F,,,,,,,,,,,,
CS 58005,F,F,F,F,,,,,,,,,,,,
CS 58007,F,F,F,F,F,F,F,F,F,F,F,F,F,,,
CS 58008,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 58009,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 58010,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 58011,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 58012,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 601,F,F,F,F,,,,,,,,,,,,
CS 611,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 68000,F,F,F,F,,,,,,,,,,,,
CS 68001,F,F,F,F,,,,,,,,,,,,
CULT 500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 521,F,F,F,F,,,,,,,,,,,,
CULT 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 551,F,F,F,F,F,F,,,,,,,,,,
CULT 553,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 555,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 561,F,F,F,F,F,F,,,,,,,,,,
CULT 568,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 570,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 584,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CULT 591,F,F,F,F,,,,,,,,,,,,
CULT 598,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DS 551,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
