"Experimental Psychology - With Master's Degree","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
HIST 669,F,F,F,F,,,,,,,,,,,,
HIST 671,F,F,F,F,,,,,,,,,,,,
HIST 672,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 681,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 682,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 689,F,F,F,F,,,,,,,,,,,,
HIST 690,F,F,F,F,,,,,,,,,,,,
HIST 692,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 695,F,F,F,F,,,,,,,,,,,,
HIST 696,F,F,F,F,,,,,,,,,,,,
HIST 697,F,F,F,F,,,,,,,,,,,,
HIST 702,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 712,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 714,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 715,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 742,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 751,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 762,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 771,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 781,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 791,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
HIST 799,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 509,F,F,F,F,,,,,,,,,,,,
IE 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 515,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 519,F,F,F,F,,,,,,,,,,,,
IE 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 530,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 536,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 550,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 553,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 555,F,F,F,F,,,,,,,,,,,,
IE 556,F,F,F,F,,,,,,,,,,,,
IE 564,F,F,F,F,,,,,,,,,,,,
IE 567,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 573,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 58000,F,F,F,F,F,F,F,F,F,F,,,,,,
IE 58003,F,F,F,F,,,,,,,,,,,,
IE 58004,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 58005,F,F,F,F,,,,,,,,,,,,
IE 58006,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 604,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 606,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 609,F,F,F,F,,,,,,,,,,,,
IE 632,F,F,F,F,,,,,,,,,,,,
IE 638,F,F,F,F,,,,,,,,,,,,
IE 640,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 682,F,F,F,F,,,,,,,,,,,,
IE 751,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IE 752,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IR 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IR 510,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IR 592,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
IR 597,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LAW 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LAW 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LIT 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LIT 545,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LIT 559,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LIT 594,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 514,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 516,F,F,F,F,,,,,,,,,,,,
MATH 517,F,F,F,F,,,,,,,,,,,,
MATH 518,F,F,F,F,,,,,,,,,,,,
MATH 519,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 520,F,F,F,F,,,,,,,,,,,,
MATH 522,F,F,F,,,,,,,,,,,,,
MATH 524,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 526,F,F,F,,,,,,,,,,,,,
MATH 528,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 542,F,F,F,,,,,,,,,,,,,
MATH 543,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 546,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 547,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 555,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 561,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 571,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 572,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 573,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 574,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 578,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 579,F,F,F,F,,,,,,,,,,,,
MATH 58001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 58002,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 58003,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 58004,F,F,F,F,,,,,,,,,,,,
MATH 584,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 603,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 604,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 636,F,F,F,F,,,,,,,,,,,,
MATH 68002,F,F,F,,,,,,,,,,,,,
MATH 68004,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 68005,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 68007,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MATH 68008,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 509,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 514,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 516,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 523,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 524,F,F,F,F,,,,,,,,,,,,
MAT 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 526,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 528,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 542,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 560,F,F,F,F,,,,,,,,,,,,
MAT 570,F,F,F,F,,,,,,,,,,,,
MAT 571,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 58000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 58001,F,F,F,F,F,F,F,F,F,,,,,,,
MAT 58005,F,F,F,F,F,F,F,F,F,F,F,,,,,
MAT 630,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 632,F,F,F,F,,,,,,,,,,,,
MAT 671,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 672,F,F,F,,,,,,,,,,,,,
MAT 68000,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 68001,F,F,F,F,,,,,,,,,,,,
MAT 68002,F,F,F,F,,,,,,,,,,,,
MAT 68003,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 68004,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MAT 68005,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 501,F,F,F,F,,,,,,,,,,,,
ME 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 507,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 508,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 509,F,F,F,F,,,,,,,,,,,,
ME 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 514,F,F,F,F,,,,,,,,,,,,
ME 515,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 518,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 530,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 535,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 537,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 541,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 560,F,F,F,F,,,,,,,,,,,,
ME 561,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 58001,F,F,F,F,,,,,,,,,,,,
ME 58002,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 58003,F,F,F,F,,,,,,,,,,,,
ME 58005,F,F,F,F,,,,,,,,,,,,
ME 58006,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 58007,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 58008,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ME 609,F,F,F,F,,,,,,,,,,,,
ME 68000,F,F,F,F,,,,,,,,,,,,
ME 68001,F,F,F,F,,,,,,,,,,,,
ME 684,F,F,F,F,,,,,,,,,,,,
MFE 751,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFE 752,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 512,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 513,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 516,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 563,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 565,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 566,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 568,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG 58000,F,,,,,,,,,,,,,,,
MFG 58002,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 504,F,F,F,F,F,F,F,F,F,,,,,,,
MGMT 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 514,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 515,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 517,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 541,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 550,F,,,,,,,,,,,,,,,
MGMT 551,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 580,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 581,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 590,F,,,,,,,,,,,,,,,
MGMT 595,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 602,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MGMT 817,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MIM 830,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 507,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 529,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 530,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 551,F,,,,,,,,,,,,,,,
MKTG 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 602,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 603,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 631,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 690,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 811,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKTG 826,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 599,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 602,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 603,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 604,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 611,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MRES 699,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 506,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 508,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 523,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 603,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 611,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 612,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 613,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 614,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 615,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 616,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 617,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 621,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 622,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 623,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 624,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 627,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 628,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 629,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 630,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 631,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 632,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 652,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
OPIM 690,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 612,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 613,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 614,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 615,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 627,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 628,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 629,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 630,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 631,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 632,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ORG 690,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 501,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
PHIL 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 550,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
PHIL 560,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHIL 570,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 511,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 531,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 541,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 548,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 550,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 555,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 561,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 566,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 584,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 591,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 611,F,F,F,F,F,,,,,,,,,,,
PHYS 617,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PHYS 618,F,F,F,F,F,,,,,,,,,,,
POLS 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 507,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 508,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 510,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 513,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 523,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 529,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 530,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 531,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 534,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 535,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 536,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 537,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 539,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 546,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 548,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 549,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 550,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 553,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 554,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 555,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 557,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 564,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 565,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 566,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 580,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 581,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 582,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 583,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 589,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 592,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 594,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 596,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 598,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 600,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 601,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 620,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 630,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 640,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 650,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700B,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700FT,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700R,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 700TR,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 790,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 791,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
POLS 792,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PROJ 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 507,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
PSY 518,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
PSY 521,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
PSY 522,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 543,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 544,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 545,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 567,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 569,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 580,F,,,,,,,,,,,,,,,
PSY 581,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C
PSY 590,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 595,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 599,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PSY 621,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C
PSY 622,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
PUBL 500,F,F,F,F,F,F,F,F,,,,,,,,
PUBL 501,F,F,F,F,F,F,F,F,,,,,,,,
PUBL 503,F,F,F,F,F,F,F,F,,,,,,,,
PUBL 504,F,F,F,F,F,F,F,F,,,,,,,,
PUBL 550,F,F,F,F,F,F,F,F,,,,,,,,
QL 700,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SEC 530,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SEC 531,F,F,F,F,,,,,,,,,,,,
SEC 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SEC 533,F,F,F,F,,,,,,,,,,,,
SEC 534,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SEC 535,F,F,F,F,,,,,,,,,,,,
SEC 537,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SEC 540,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SEC 58006,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SEC 592,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SOC 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SOC 508,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SOC 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SOC 525,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SOC 526,F,F,F,F,F,F,F,F,F,,,,,,,
SOC 532,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SPS 500,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SPS 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SPS 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 509,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 515,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 521,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 550,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 551,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 552,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 555,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
TS 590,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 501,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 502,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 503,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 504,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 505,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 515,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 520,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 529,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VA 530,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
