"Economics","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
HUM 322,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
HUM 324,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,
HUM 371,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ECON 201,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
ECON 202,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
ECON 204,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A,R:A
ECON 300,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
ECON 301,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
MATH 203,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E,R:E
MATH 306,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
PROJ 300,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,
MATH 201,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E
MATH 202,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E
MATH 204,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E,MR:E
ECON 310,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 320,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 330,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 340,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 350,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 360,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 370,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 430,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ECON 312,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 321,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 322,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 323,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 335,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 345,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 399,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 400,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 401,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
