"Data Science and Analytics","202501","202502","202503","202601"
EE 314,F,F,F,F
EE 321,F,F,F,F
EE 401,F,F,F,F
EE 402,F,F,F,F
EE 403,F,F,F,F
EE 404,F,F,F,F
EE 405,F,F,F,F
EE 406,F,F,F,F
EE 407,F,F,F,F
EE 408,F,F,F,F
EE 409,F,F,F,F
EE 411,F,F,F,F
EE 413,F,F,F,F
EE 414,F,F,F,F
EE 415,F,F,F,F
EE 419,F,F,F,F
EE 423,F,F,F,F
EE 426,F,F,F,F
EE 440,F,F,F,F
EE 444,F,F,F,F
EE 473,F,F,F,F
EE 48008,F,F,F,F
EE 48010,F,F,F,F
EE 48011,F,F,F,F
ENRG 220,F,F,F,F
ENRG 301,F,F,F,F
ENRG 315,F,F,F,F
ENRG 322,F,F,F,F
ENRG 401,F,F,F,F
ENRG 420,F,F,F,F
ENRG 423,F,F,F,F
ENRG 424,F,F,F,F
ENRG 426,F,F,F,F
ENS 201,F,F,F,F
ENS 202,F,F,F,F
ENS 203,F,F,F,F
ENS 204,F,F,F,F
ENS 205,F,F,F,F
ENS 206,F,F,F,F
ENS 207,F,F,F,F
ENS 209,F,F,F,F
ENS 214,F,F,F,F
ENS 216,F,F,F,F
ENS 303,F,F,F,F
ENS 410,F,F,F,F
ENS 413,F,F,F,F
ENS 414,F,F,F,F
ENS 4803,F,F,F,F
ENS 491,F,F,F,F
ENS 492,F,F,F,F
ENT 201,F,F,F,F
FIN 403,F,F,F,F
FIN 405,F,F,F,F
FIN 406,F,F,F,F
FIN 407,F,F,F,F
FIN 409,F,F,F,F
FIN 410,F,F,F,F
FIN 411,F,F,F,F
FIN 499,F,F,F,F
GEN 341,F,F,F,F
GEN 343,F,F,F,F
GEN 385,F,F,F,F
GEN 399,F,F,F,F
GEN 410,F,F,F,F
GEN 442,F,F,F,F
GEN 444,F,F,F,F
GEN 480,F,F,F,F
HART 234,F,F,F,F
HART 292,F,F,F,F
HART 293,F,F,F,F
HART 320,F,F,F,F
HART 413,F,F,F,F
HART 425,F,F,F,F
HART 426,F,F,F,F
HART 432,F,F,F,F
HIST 233,F,F,F,F
HIST 335,F,F,F,F
HIST 349,F,F,F,F
HIST 371,F,F,F,F
HIST 439,F,F,F,F
HIST 489,F,F,F,F
HUM 413,F,F,F,F
HUM 414,F,F,F,F
IE 303,F,F,F,F
IE 304,F,F,F,F
IE 309,F,F,F,F
IE 313,F,F,F,F
IE 401,F,F,F,F
IE 402,F,F,F,F
IE 403,F,F,F,F
IE 409,F,F,F,F
IE 411,F,F,F,F
IE 414,F,F,F,F
IE 416,F,F,F,F
IE 430,F,F,F,F
IE 432,F,F,F,F
IE 435,F,F,F,F
IE 436,F,F,F,F
IE 454,F,F,F,F
IE 48005,F,F,F,F
IF 200,F,F,F,F
IF 201,F,F,F,F
IF 301,F,F,F,F
IF 333,F,F,F,F
IF 402,F,F,F,F
IF 405,F,F,F,F
IF 467,F,F,F,F
IR 201,F,F,F,F
IR 301,F,F,F,F
IR 341,F,F,F,F
IR 342,F,F,F,F
IR 392,F,F,F,F
