"Political Science and International Relations","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
CONF 431,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
CULT 384,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,
DSA 201,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E
ECON 320,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
IF 401,A,A,A,A,A,A,A,A,A,,,,,,,,,,
IR 341,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PHIL 301,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PHIL 450,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 351,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 366,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 399,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 403,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 408,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 422,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 434,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 446,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
POLS 457,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SOC 301,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A
SOC 408,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SOC 420,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SOC 425,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SPS 374,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SPS 384,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SPS 394,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
SPS 404,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ACCA 200,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ACC 201,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M,F:M
ACC 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ACC 404,F,F,,,,,,,,,,,,,,,,,
ACC 405,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ACC 406,F,F,,,,,,,,,,,,,,,,,
ANTH 214,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ANTH 255,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
ANTH 321,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ANTH 326,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A,F:A
ANTH 340,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ANTH 468,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ARA 110,F,F,,,,,,,,,,,,,,,,,
ARA 120,F,F,,,,,,,,,,,,,,,,,
ARA 130,F,F,,,,,,,,,,,,,,,,,
ARA 140,F,F,,,,,,,,,,,,,,,,,
BIO 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 303,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 304,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 306,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 308,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 310,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 321,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F,F,F,F,F,F,F
BIO 322,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 330,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 332,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 335,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 363,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 403,F,F,F,F,F,F,F,,,,,,,,,,,,
BIO 406,F,F,F,F,F,F,F,,,,,,,,,,,,
BIO 407,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 409,F,F,F,F,F,F,F,,,,,,,,,,,,
BIO 415,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 421,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 423,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 436,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 444,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 445,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 446,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 447,F,F,F,F,F,F,F,,,,,,,,,,,,
BIO 452,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 460,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 466,F,F,F,F,F,F,F,,,,,,,,,,,,
BIO 467,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 468,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BIO 48006,F,F,F,F,F,F,F,F,F,,,,,,,,,,
CHEM 202,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CHEM 212,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E
CHEM 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CHEM 302,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CHEM 405,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CIP 101,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CIP 102,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CIP 201,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CIP 202,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CIP 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CIP 302,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CONF 300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 201,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E,F:E
CS 204,F,F,F,F,F,F,F,F,F,F,F,F,F:E,F:E,F:E,F:E,F:E,F:E,F:E
CS 210,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,
CS 300,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 301,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 302,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 303,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 305,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 306,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 307,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 308,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 310,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 400,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 401,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 403,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 404,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 405,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 406,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 407,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 408,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 411,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 412,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 414,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 415,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 419,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 432,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 435,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 436,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 437,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 438,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 439,F,F,F,F,F,F,F,F,F,F,,,,,,,,,
CS 440,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 442,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 445,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 447,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 449,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 450,F,F,F,F,F,F,F,,,,,,,,,,,,
CS 455,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 460,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CS 48000,F,F,F,F,F,F,F,,,,,,,,,,,,
CS 48001,F,F,F,F,F,F,F,,,,,,,,,,,,
CS 48002,F,F,F,F,F,F,F,,,,,,,,,,,,
CS 48003,F,F,F,F,F,F,F,,,,,,,,,,,,
